latitude,longitude,time,date,number of sats,gps speed (kn),gps true heading,gps magnetic variation,hdop,c magnetic heading,c true heading,pitch angle,roll angle,c inside temp (c),dfs depth (m),dtb height (m),total water column (m),batt percent,power watts,watt-hours,batt volts,batt ampers,batt state,time to empty,current step,dist to next (m),next speed (kn),vehicle speed (kn),motor speed cmd,next heading,next long,next lat,next depth (m),depth goal (m),vehicle state,error state,distance to track (m),fin pitch r,fin pitch l,pitch goal,fin yaw t,fin yaw b,yaw goal,fin roll,dvl-depth (m),dvl -altitude (m),dvl -water column (m),dvl-fixtype,dvl-fixquality,dvl-temperature,conductivity (mmhos/cm),temperature (c),salinity (ppt),sound speed (m/s),date m/d/y,time hh:mm:ss,temp c,spcond ms/cm,sal ppt,depth feet,ph,ph mv,turbid+ ntu,chl ug/l,bga-pc cells/ml,odosat %,odo mg/l,battery volts,rosem command type,timestamp,temperature,salinity,odo
25.88168487,-80.14620356,00:00.1,10/21/21,10,1.151,37.8,-7.117706431,0.9,54.3,50.01,0.08,-1.34,36.6,0.0,3.41,3.42,92,24,510.3,16.2,-1.4,D,1419.3,0,253.704,1,1.02,153,43.15,-80.14446913,25.88334941,0,0,1,N,0.8147625,57,57,11,122,122,48.77375,0,9999.99,3.43,3.557,2,9,29.5,0,29.5,46.52,1556.50371,10/21/21,10:36:12,26.72,68.26,46.52,1.197,7.93,-55.4,-5.2,-8.9,-7021,94.2,5.81,12.8,,2021-10-21 00:00:06+00:00,26.72,46.52,5.81
25.88169097,-80.14619643,00:02.1,10/21/21,10,0.949,37.8,-7.117706431,0.9,56.1,51.79,2.84,-3.16,36.5,0.01,3.43,3.45,92,24,510.3,16.2,-1.5,D,1407.1,0,252.721,1,1.0,153,43.14,-80.14446913,25.88334941,0,0,1,N,0.7599415,65,65,11,106,106,48.38483,0,9999.99,3.43,3.557,2,9,29.5,0,29.5,45.12,1555.0352,10/21/21,10:36:15,26.7,66.47,45.12,1.367,7.93,-55.3,-4.2,-0.4,60960,94.0,5.85,13.0,,2021-10-21 00:02:06+00:00,26.7,45.12,5.85
25.88169522,-80.14619457,00:03.1,10/21/21,10,1.048,37.8,-7.117706431,0.9,59.1,54.75,-3.01,-5.8,36.6,0.01,3.38,3.4,92,24,510.3,16.2,-1.5,D,1407.1,0,252.25,1,0.95,153,43.18,-80.14446913,25.88334941,0,0,1,N,0.9453095,43,43,11,108,108,49.69751,0,9999.99,3.41,3.537,2,9,29.5,0,29.5,45.12,1555.0352,10/21/21,10:36:15,26.7,66.47,45.12,1.367,7.93,-55.3,-4.2,-0.4,60960,94.0,5.85,13.0,,2021-10-21 00:03:06+00:00,26.7,45.12,5.85
25.88169738,-80.14618965,00:04.1,10/21/21,10,1.067,37.8,-7.117706431,0.9,58.1,53.77,3.22,2.75,36.6,0.02,3.37,3.38,92,24,510.3,16.2,-1.5,D,1396.9,0,251.737,1,0.99,153,43.14,-80.14446913,25.88334941,0,0,1,N,0.7511373,76,76,11,105,105,48.32219,0,9999.99,3.34,3.467,2,9,29.5,0,29.5,46.54,1556.52615,10/21/21,10:36:17,26.7,68.29,46.54,1.335,7.93,-55.2,-3.9,1.5,27007,93.8,5.79,13.0,,2021-10-21 00:04:06+00:00,26.7,46.54,5.79
25.88170042,-80.14618561,00:05.1,10/21/21,10,0.961,37.8,-7.117706431,0.9,58.8,54.46,1.62,-6.0,36.6,0.0,3.37,3.37,92,24,510.3,16.2,-1.5,D,1396.9,0,251.214,1,0.97,153,43.12,-80.14446913,25.88334941,0,0,1,N,0.6894781,67,67,11,101,101,47.88412,0,9999.99,3.39,3.517,2,9,29.5,0,29.5,46.54,1556.52615,10/21/21,10:36:17,26.7,68.29,46.54,1.335,7.93,-55.2,-3.9,1.5,27007,93.8,5.79,13.0,,2021-10-21 00:05:06+00:00,26.7,46.54,5.79
25.88170287,-80.14618226,00:06.1,10/21/21,10,0.986,37.8,-7.117706431,0.9,57.0,52.68,0.21,-2.39,36.6,0.0,3.39,3.4,92,24,510.3,16.2,-1.5,D,1396.9,0,250.787,1,0.93,153,43.11,-80.14446913,25.88334941,0,0,1,N,0.6228827,57,57,11,108,108,47.41031,0,9999.99,3.41,3.537,2,9,29.5,0,29.5,45.86,1555.81111,10/21/21,10:36:19,26.72,67.41,45.86,1.154,7.93,-55.1,-4.3,12.0,111413,93.7,5.8,12.9,,2021-10-21 00:06:06+00:00,26.72,45.86,5.8
25.88170707,-80.14617874,00:07.1,10/21/21,10,1.091,38.69,-7.117706431,0.9,59.8,55.44,1.42,1.05,36.6,0.0,3.38,3.38,92,24,510.3,16.2,-1.5,D,1396.9,0,250.205,1,0.94,153,43.12,-80.14446913,25.88334941,0,0,1,N,0.6892556,67,67,11,97,97,47.88251,0,9999.99,3.38,3.507,2,9,29.5,0,29.5,45.86,1555.81111,10/21/21,10:36:19,26.72,67.41,45.86,1.154,7.93,-55.1,-4.3,12.0,111413,93.7,5.8,12.9,,2021-10-21 00:07:06+00:00,26.72,45.86,5.8
25.88171127,-80.14617466,00:08.1,10/21/21,10,0.863,38.69,-7.117706431,0.9,56.7,52.38,0.59,0.62,36.5,0.0,3.43,3.43,92,24,510.3,16.2,-1.5,D,1397.7,0,249.585,1,0.94,153,43.13,-80.14446913,25.88334941,0,0,1,N,0.7033569,61,61,11,109,109,47.98267,0,9999.99,3.44,3.567,2,9,29.5,0,29.5,46.49,1556.47223,10/21/21,10:36:20,26.72,68.23,46.49,1.158,7.93,-55.2,-5.6,33.2,123778,93.6,5.77,12.8,,2021-10-21 00:08:06+00:00,26.72,46.49,5.77
25.88172047,-80.14616519,00:11.1,10/21/21,10,1.028,38.69,-7.117706431,0.9,53.6,49.31,2.43,-4.21,36.5,0.0,3.4,3.4,92,24,510.2,16.2,-1.5,D,1390.4,0,248.191,1,0.94,153,43.13,-80.14446913,25.88334941,0,0,1,N,0.7016775,72,72,11,122,122,47.97071,0,9999.99,3.42,3.547,2,9,29.5,0,29.5,46.46,1556.44069,10/21/21,10:36:23,26.71,68.18,46.46,1.232,7.93,-55.0,-5.2,-5.0,9336,93.6,5.78,13.0,,2021-10-21 00:11:06+00:00,26.71,46.46,5.78
25.88172342,-80.14616288,00:12.1,10/21/21,10,0.835,38.69,-7.117706431,0.9,53.7,49.41,-2.32,-8.3,36.5,0.02,3.49,3.5,92,24,510.2,16.2,-1.5,D,1390.4,0,247.794,1,0.98,153,43.14,-80.14446913,25.88334941,0,0,1,N,0.7543426,43,43,11,123,123,48.34484,0,9999.99,3.51,3.637,2,9,29.5,0,29.5,42.14,1551.90948,10/21/21,10:36:24,26.72,62.6,42.14,1.214,7.93,-55.0,-3.3,-2.4,1285,93.5,5.91,12.9,,2021-10-21 00:12:06+00:00,26.72,42.14,5.91
