latitude,longitude,time,date,number of sats,gps speed (kn),gps true heading,gps magnetic variation,hdop,c magnetic heading,c true heading,pitch angle,roll angle,c inside temp (c),dfs depth (m),dtb height (m),total water column (m),batt percent,power watts,watt-hours,batt volts,batt ampers,batt state,time to empty,current step,dist to next (m),next speed (kn),vehicle speed (kn),motor speed cmd,next heading,next long,next lat,next depth (m),depth goal (m),vehicle state,error state,distance to track (m),fin pitch r,fin pitch l,pitch goal,fin yaw t,fin yaw b,yaw goal,fin roll,dvl-depth (m),dvl -altitude (m),dvl -water column (m),dvl-fixtype,dvl-fixquality,dvl-temperature,conductivity (mmhos/cm),temperature (c),salinity (ppt),sound speed (m/s),date m/d/y,time hh:mm:ss,temp c,spcond ms/cm,sal ppt,depth feet,ph,ph mv,turbid+ ntu,chl ug/l,bga-pc cells/ml,odosat %,odo mg/l,battery volts,rosem command type,timestamp,temperature,salinity,odo
25.91274345,-80.13777946,17:56.4,11/16/22,8,1.641,162.23,-7.23198201,1.31,183.0,172.6,3.42,1.76,32.6,0.0,3.38,3.39,98,48,525.2,16.4,-2.9,D,735.4,1,13.94,2,1.68,183,162.93,-80.13773856,25.9126236,0,0,1,N,3.264627,78,78,11,124,124,171.7557,0,9999.99,3.42,3.547,2,9,29.6,0,29.70000076,47.43,1557.85882,11/16/22,11:50:10,27.76,69.47,47.43,1.186,8.28,-76.4,-2.4,-1.2,-1458,96.2,5.81,13.2,,2022-11-16 17:56:24+00:00,27.76,47.43,5.81
25.91273439,-80.13777892,17:57.4,11/16/22,7,1.514,166.08,-7.23198201,1.3,184.3,173.91,1.79,3.63,32.6,0.0,3.35,3.35,98,48,525.2,16.4,-2.9,D,735.4,1,12.964,2,1.79,184,161.86,-80.13773856,25.9126236,0,0,1,N,2.804988,68,68,11,107,107,168.8795,0,9999.99,3.38,3.507,2,9,29.6,0,29.60000038,47.63,1557.86872,11/16/22,11:50:12,27.74,69.73,47.63,1.209,8.28,-76.2,-2.3,-7.4,-2002,96.0,5.79,13.1,,2022-11-16 17:57:24+00:00,27.74,47.63,5.79
25.91272678,-80.13777822,17:58.4,11/16/22,7,1.566,170.84,-7.23198201,1.3,182.1,171.7,1.61,5.88,32.6,0.0,3.33,3.33,98,48,525.2,16.4,-2.9,D,735.4,1,12.14,2,1.88,184,160.93,-80.13773856,25.9126236,0,0,1,N,2.443113,67,67,11,105,105,166.5396,0,9999.99,3.34,3.467,2,9,29.6,0,29.60000038,47.63,1557.86872,11/16/22,11:50:12,27.74,69.73,47.63,1.209,8.28,-76.2,-2.3,-7.4,-2002,96.0,5.79,13.1,,2022-11-16 17:58:24+00:00,27.74,47.63,5.79
25.91271768,-80.1377787,17:59.4,11/16/22,7,1.989,178.24,-7.23198201,1.3,179.5,169.09,2.45,6.16,32.6,0.0,3.29,3.29,98,50,525.1,16.4,-3.0,D,708.5,1,11.205,2,1.94,184,159.0,-80.13773856,25.9126236,0,0,1,N,1.891071,72,72,11,102,102,162.8569,0,9999.99,3.3,3.427,2,9,29.6,0,29.60000038,47.5,1557.73224,11/16/22,11:50:13,27.75,69.56,47.5,1.236,8.28,-76.4,-3.1,-1.5,-2987,95.8,5.78,13.2,,2022-11-16 17:59:24+00:00,27.75,47.5,5.78
25.91270799,-80.13777912,18:00.4,11/16/22,7,1.972,179.5,-7.23198201,1.3,177.4,166.99,2.18,6.54,32.7,0.0,3.25,3.25,98,50,525.1,16.4,-3.0,D,708.5,1,10.223,2,1.99,184,156.62,-80.13773856,25.9126236,0,0,1,N,1.294925,70,70,11,94,94,158.7514,0,9999.99,3.26,3.387,2,9,29.6,0,29.60000038,47.7,1557.94207,11/16/22,11:50:15,27.77,69.82,47.7,1.24,8.29,-76.5,-2.1,-3.2,-3763,95.5,5.75,13.2,,2022-11-16 18:00:24+00:00,27.77,47.7,5.75
25.91269738,-80.13778,18:01.4,11/16/22,8,1.843,179.44,-7.23198201,1.3,175.2,164.8,2.34,5.43,32.7,0.0,3.19,3.19,98,50,525.1,16.4,-3.0,D,708.5,1,9.192,2,2.01,184,153.2,-80.13773856,25.9126236,0,0,1,N,0.6159858,71,71,11,84,84,153.9603,0,9999.99,3.2,3.327,2,9,29.5,0,29.60000038,47.7,1557.94207,11/16/22,11:50:15,27.77,69.82,47.7,1.24,8.29,-76.5,-2.1,-3.2,-3763,95.5,5.75,13.2,,2022-11-16 18:01:24+00:00,27.77,47.7,5.75
25.91266684,-80.13777723,18:04.4,11/16/22,8,2.249,173.16,-7.23198201,1.4,163.8,153.61,2.06,7.15,32.6,0.0,3.07,3.07,98,51,525.1,16.4,-3.1,D,691.3,1,6.171,2,2.17,184,141.19,-80.13773856,25.9126236,0,0,1,N,0.8918105,67,67,11,84,84,143.1968,0,9999.99,3.08,3.207,2,9,29.5,0,29.5,47.12,1557.13324,11/16/22,11:50:18,27.74,69.07,47.12,1.225,8.29,-76.7,-3.1,-5.6,-285,95.8,5.79,13.2,,2022-11-16 18:04:24+00:00,27.74,47.12,5.79
25.91265574,-80.13777479,18:05.4,11/16/22,7,1.91,169.63,-7.23198201,1.4,159.8,149.73,2.21,7.54,32.6,0.0,3.05,3.05,98,51,525.1,16.4,-3.1,D,691.3,2,21.989,2,2.08,184,139.9,-80.13763318,25.91250447,0,0,1,N,0.5936634,70,70,11,84,84,138.9486,0,9999.99,3.07,3.197,2,9,29.4,0,29.5,47.24,1557.25919,11/16/22,11:50:19,27.74,69.22,47.24,1.231,8.29,-76.5,-3.5,-2.0,-1958,95.9,5.79,13.2,,2022-11-16 18:05:24+00:00,27.74,47.24,5.79
25.91264763,-80.13777235,18:06.4,11/16/22,7,1.918,166.48,-7.23198201,1.4,155.2,145.31,1.82,6.21,32.7,0.0,3.11,3.11,98,51,525.1,16.4,-3.1,D,691.3,2,21.146,2,2.01,184,138.83,-80.13763318,25.91250447,0,0,1,N,0.9751608,68,68,11,94,94,137.0254,0,9999.99,3.13,3.257,2,9,29.4,0,29.39999962,47.17,1556.98474,11/16/22,11:50:21,27.79,69.14,47.17,1.209,8.28,-76.3,-2.5,-4.9,-333,95.7,5.78,13.3,,2022-11-16 18:06:24+00:00,27.79,47.17,5.78
25.91263999,-80.137769,18:07.4,11/16/22,7,2.018,163.66,-7.23198201,1.41,151.2,141.49,1.1,7.72,32.7,0.0,3.12,3.12,98,51,525.1,16.4,-3.1,D,691.3,2,20.288,2,2.02,184,137.97,-80.13763318,25.91250447,0,0,1,N,1.247772,64,64,11,101,101,135.3372,0,9999.99,3.13,3.257,2,9,29.4,0,29.39999962,47.17,1556.98474,11/16/22,11:50:21,27.79,69.14,47.17,1.209,8.28,-76.3,-2.5,-4.9,-333,95.7,5.78,13.3,,2022-11-16 18:07:24+00:00,27.79,47.17,5.78
25.91263146,-80.13776435,18:08.4,11/16/22,8,2.167,160.58,-7.23198201,1.41,147.2,137.7,1.95,8.7,32.6,0.0,3.13,3.13,98,59,525.1,16.4,-3.6,D,599.7,2,19.275,2,1.91,184,137.11,-80.13763318,25.91250447,0,0,1,N,1.477221,67,67,11,108,108,133.4843,0,9999.99,3.15,3.277,2,9,29.4,0,29.39999962,46.9,1556.70115,11/16/22,11:50:23,27.8,68.79,46.9,1.215,8.29,-76.5,-2.1,-4.7,-1981,95.7,5.79,13.2,,2022-11-16 18:08:24+00:00,27.8,46.9,5.79
25.91262354,-80.13775974,18:09.4,11/16/22,8,1.997,157.34,-7.23198201,1.41,144.6,135.25,1.74,7.81,32.7,0.0,3.14,3.14,98,59,525.1,16.4,-3.6,D,599.7,2,18.316,2,1.94,184,136.29,-80.13763318,25.91250447,0,0,1,N,1.671768,65,65,11,108,108,131.518,0,9999.99,3.15,3.277,2,9,29.4,0,29.39999962,46.9,1556.70115,11/16/22,11:50:23,27.8,68.79,46.9,1.215,8.29,-76.5,-2.1,-4.7,-1981,95.7,5.79,13.2,,2022-11-16 18:09:24+00:00,27.8,46.9,5.79
25.91261583,-80.1377539,18:10.4,11/16/22,8,1.887,151.95,-7.23198201,1.41,142.0,132.8,1.79,7.99,32.7,0.0,3.16,3.17,98,59,525.1,16.4,-3.6,D,599.7,2,17.295,2,1.96,184,135.72,-80.13763318,25.91250447,0,0,1,N,1.758079,68,68,11,115,115,129.7053,0,9999.99,3.18,3.307,2,9,29.4,0,29.39999962,46.51,1556.29161,11/16/22,11:50:24,27.78,68.29,46.51,1.205,8.29,-76.7,-3.0,-4.9,-4382,95.8,5.81,13.1,,2022-11-16 18:10:24+00:00,27.78,46.51,5.81
25.91260867,-80.1377475,18:11.4,11/16/22,8,1.977,148.6,-7.23198201,1.0,139.5,130.46,1.37,7.53,32.6,0.0,3.22,3.22,98,58,525.0,16.4,-3.5,D,612.7,2,16.278,2,1.93,184,135.38,-80.13763318,25.91250447,0,0,1,N,1.755491,68,68,11,125,125,129.1166,0,9999.99,3.24,3.367,2,9,29.3,0,29.29999924,46.92,1556.52041,11/16/22,11:50:26,27.73,68.81,46.92,1.212,8.28,-76.3,-3.3,0.1,-1883,95.9,5.81,13.2,,2022-11-16 18:11:24+00:00,27.73,46.92,5.81
